time,qpos,qpos,qvel,qvel,ctrl,snsr,snsr,snsr,est_p,est_p,est_v,est_v,est_c,est_s,est_s,est_s,stddev_p,stddev_p,stddev_v,stddev_v,stddev_c,stddev_s,stddev_s,stddev_s,
0.05625,-0.015832,0,-0.549593,0,0,0,0,-0.015832,-0.015145,-1.67629e-15,-0.549725,-1.13823e-13,0,4.79257e-16,0,-0.0151603,1,1,44.9778,44.9542,0,1.00007,1e-07,1.00005,
0.0575,-0.0165341,0,-0.561705,0,0,0,0,-0.0165341,-0.015832,-6.00351e-16,-0.561843,-1.13664e-13,0,-1.81857e-15,0,-0.0158473,1,1,45.9757,45.951,0,1.00007,1e-07,1.00005,
0.05875,-0.0172514,0,-0.573809,0,0,0,0,-0.0172514,-0.0165341,-1.4113e-15,-0.573953,-8.51342e-14,0,-7.42432e-16,0,-0.0165494,1,1,46.9735,46.9477,0,1.00007,1e-07,1.00005,
0.06,-0.0179838,0,-0.585907,0,0,0,0,-0.0179838,-0.0172514,3.57376e-15,-0.586057,-2.79775e-14,0,-1.51772e-15,0,-0.0172667,1,1,47.9711,47.9443,0,1.00007,1e-07,1.00005,
0.06125,-0.0187313,0,-0.597998,0,0,0,0,-0.0187313,-0.0179838,1.48359e-15,-0.598154,-2.10484e-16,0,3.53878e-15,0,-0.0179991,1,1,48.9687,48.9407,0,1.00008,1e-07,1.00005,
0.0625,-0.0194939,0,-0.610081,0,0,0,0,-0.0194939,-0.0187313,1.41242e-16,-0.610244,-2.57921e-16,0,1.48333e-15,0,-0.0187466,1,1,49.9661,49.9369,0,1.00008,1e-07,1.00005,
0.06375,-0.0202716,0,-0.622158,0,0,0,0,-0.0202716,-0.0194939,-4.77725e-16,-0.622327,5.66785e-14,0,1.4092e-16,0,-0.0195092,1,1,50.9634,50.933,0,1.00008,1e-07,1.00005,
0.065,-0.0210644,0,-0.634227,0,0,0,0,-0.0210644,-0.0202716,-2.55923e-16,-0.634402,5.6896e-14,0,-4.06877e-16,0,-0.0202869,1,1,51.9606,51.929,0,1.00008,1e-07,1.00006,
0.06625,-0.0218722,0,-0.646288,0,0,0,0,-0.0218722,-0.0210644,-1.58048e-15,-0.64647,5.68958e-14,0,-1.84803e-16,0,-0.0210797,1,1,52.9576,52.9248,0,1.00008,1e-07,1.00006,
0.0675,-0.0226951,0,-0.658342,0,0,0,0,-0.0226951,-0.0218722,1.38656e-15,-0.658531,5.71995e-14,0,-1.50936e-15,0,-0.0218875,1,1,53.9545,53.9204,0,1.00008,1e-07,1.00006,
0.06875,-0.0235331,0,-0.670387,0,0,0,0,-0.0235331,-0.0226951,-3.95756e-15,-0.670584,1.13467e-13,0,1.45806e-15,0,-0.0227104,1,1,54.9512,54.9159,0,1.00008,1e-07,1.00006,
0.07,-0.0243862,0,-0.682425,0,0,0,0,-0.0243862,-0.0235331,4.67885e-15,-0.682629,1.14469e-13,0,-3.81572e-15,0,-0.0235484,1,1,55.9478,55.9111,0,1.00009,1e-07,1.00006,
0.07125,-0.0252542,0,-0.694455,0,0,0,0,-0.0252542,-0.0243862,1.04932e-15,-0.694665,8.43027e-14,0,4.82194e-15,0,-0.0244015,1,1,56.9442,56.9063,0,1.00009,1e-07,1.00006,
0.0725,-0.0261373,0,-0.706476,0,0,0,0,-0.0261373,-0.0252542,-2.35609e-15,-0.706694,1.13906e-13,0,1.1547e-15,0,-0.0252695,1,1,57.9405,57.9012,0,1.00009,1e-07,1.00007,
